point_id,distance_m
0,60.603
1,62.633
2,64.662
3,66.691
4,68.72
5,70.749
6,72.778
7,74.808
8,76.837
9,78.866
10,80.895
11,82.924
12,84.954
13,86.983
14,89.012
15,91.041
16,93.07
17,95.1
18,97.129
19,99.158
20,101.187
21,103.216
22,105.246
23,107.275
24,109.304
25,111.333
26,113.362
27,115.391
28,117.421
29,119.45
30,121.479
31,123.508
32,125.537
33,127.567
34,129.596
35,131.625
36,133.654
37,135.683
38,137.713
39,139.742
40,141.771
41,143.8
42,145.829
43,147.858
44,149.888
45,151.917
46,153.946
47,155.975
48,158.004
49,160.034
50,162.063
51,164.092
52,166.121
53,168.15
54,170.18
55,172.209
56,174.238
57,176.267
58,178.296
59,180.326
60,182.355
61,184.384
62,186.413
63,188.442
64,190.471
65,192.501
66,194.53
67,196.559
68,198.588
69,200.617
70,202.647
71,204.676
72,206.705
73,208.734
74,210.763
75,212.793
76,214.822
77,216.851
78,218.88
79,220.909
80,222.939
81,224.968
82,226.997
83,229.026
84,231.055
85,233.084
86,235.114
87,237.143
88,239.172
89,241.201
90,243.23
91,245.26
92,247.289
93,249.318
94,251.347
95,253.376
96,255.406
97,257.435
98,259.464
99,261.493
100,263.522
101,265.551
102,267.581
103,269.61
104,271.639
105,273.668
106,275.697
107,277.727
108,279.756
109,281.785
110,283.814
111,285.843
112,287.873
113,289.902
114,291.931
115,293.96
116,295.989
117,298.019
118,300.048
119,302.077
120,304.106
121,306.135
122,308.164
123,310.194
124,312.223
125,314.252
126,316.281
127,318.31
128,320.34
129,322.369
130,324.398
131,326.427
132,328.456
133,330.486
134,332.515
135,334.544
136,336.573
137,338.602
138,340.632
139,342.661
140,344.69
141,346.719
142,348.748
143,350.777
144,352.807
145,354.836
146,356.865
147,358.894
148,360.923
149,362.953
150,364.982
151,367.011
152,369.04
153,371.069
154,373.099
155,375.128
156,377.157
157,379.186
158,381.215
159,383.244
160,385.274
161,387.303
162,389.332
163,391.361
164,393.39
165,395.42
166,397.449
167,399.478
168,401.507
169,403.536
170,405.566
171,407.595
172,409.624
173,411.653
174,413.682
175,415.712
176,417.741
177,419.77
178,421.799
179,423.828
180,425.857
181,427.887
182,429.916
183,431.945
184,433.974
185,436.003
186,438.033
187,440.062
188,442.091
189,444.12
190,446.149
191,448.179
192,450.208
193,452.237
194,454.266
195,456.295
196,458.324
197,460.354
198,462.383
199,464.412
200,466.441
201,468.47
202,470.5
203,472.529
204,474.558
205,476.587
206,478.616
207,480.646
208,482.675
209,484.704
210,486.733
211,488.762
212,490.792
213,492.821
214,494.85
215,496.879
216,498.908
217,500.937
218,502.967
219,504.996
220,507.025
221,509.054
222,511.083
223,513.113
224,515.142
225,517.171
226,519.2
227,521.229
228,523.259
229,525.288
230,527.317
231,529.346
232,531.375
233,533.405
234,535.434
235,537.463
236,539.492
237,541.521
238,543.55
239,545.58
240,547.609
241,549.638
242,551.667
243,553.696
244,555.726
245,557.755
246,559.784
247,561.813
248,563.842
249,565.872
250,567.901
251,569.93
252,571.959
253,573.988
254,576.017
255,578.047
256,580.076
257,582.105
258,584.134
259,586.163
260,588.193
261,590.222
262,592.251
263,594.28
264,596.309
265,598.339
266,600.368
267,602.397
268,604.426
269,606.455
270,608.485
271,610.514
272,612.543
273,614.572
274,616.601
275,618.63
276,620.66
277,622.689
278,624.718
279,626.747
280,628.776
281,630.806
282,632.835
283,634.864
284,636.893
285,638.922
286,640.952
287,642.981
288,645.01
289,647.039
290,649.068
291,651.097
292,653.127
293,655.156
294,657.185
295,659.214
296,661.243
297,663.273
298,665.302
299,667.331
300,669.36
301,671.389
302,673.419
303,675.448
304,677.477
305,679.506
306,681.535
307,683.565
308,685.594
309,687.623
310,689.652
311,691.681
312,693.71
313,695.74
314,697.769
315,699.798
316,701.827
317,703.856
318,705.886
319,707.915
320,709.944
321,711.973
322,714.002
323,716.032
324,718.061
325,720.09
326,722.119
327,724.148
328,726.178
329,728.207
330,730.236
331,732.265
332,734.294
333,736.323
334,738.353
335,740.382
336,742.411
337,744.44
338,746.469
339,748.499
340,750.528
341,752.557
342,754.586
343,756.615
344,758.645
345,760.674
346,762.703
347,764.732
348,766.761
349,768.79
350,770.82
351,772.849
352,774.878
353,776.907
354,778.936
355,780.966
356,782.995
357,785.024
358,787.053
359,789.082
360,791.112
361,793.141
362,795.17
363,797.199
364,799.228
365,801.258
366,803.287
367,805.316
368,807.345
369,809.374
370,811.403
371,813.433
372,815.462
373,817.491
374,819.52
375,821.549
376,823.579
377,825.608
378,827.637
379,829.666
380,831.695
381,833.725
382,835.754
383,837.783
384,839.812
385,841.841
386,843.87
387,845.9
388,847.929
389,849.958
390,851.987
391,854.016
392,856.046
393,858.075
394,860.104
395,862.133
396,864.162
397,866.192
398,868.221
399,870.25
400,872.279
401,874.308
402,876.338
403,878.367
404,880.396
405,882.425
406,884.454
407,886.483
408,888.513
409,890.542
410,892.571
411,894.6
412,896.629
413,898.659
414,900.688
415,902.717
416,904.746
417,906.775
418,908.805
419,910.834
420,912.863
421,914.892
422,916.921
423,918.951
424,920.98
425,923.009
426,925.038
427,927.067
428,929.096
429,931.126
430,933.155
431,935.184
432,937.213
433,939.242
434,941.272
435,943.301
436,945.33
437,947.359
438,949.388
439,951.418
440,953.447
441,955.476
442,957.505
443,959.534
444,961.563
445,963.593
446,965.622
447,967.651
448,969.68
449,971.709
450,973.739
451,975.768
452,977.797
453,979.826
454,981.855
455,983.885
456,985.914
457,987.943
458,989.972
459,992.001
460,994.031
461,996.06
462,998.089
463,1000.118
464,1002.147
465,1004.176
466,1006.206
467,1008.235
468,1010.264
469,1012.293
470,1014.322
471,1016.352
472,1018.381
473,1020.41
474,1022.439
475,1024.468
476,1026.498
477,1028.527
478,1030.556
479,1032.585
480,1034.614
481,1036.644
482,1038.673
483,1040.702
484,1042.731
485,1044.76
486,1046.789
487,1048.819
488,1050.848
489,1052.877
490,1054.906
491,1056.935
492,1058.965
493,1060.994
494,1063.023
495,1065.052
496,1067.081
497,1069.111
498,1071.14
499,1073.169
500,1075.198
501,1077.227
502,1079.256
503,1081.286
504,1083.315
505,1085.344
506,1087.373
507,1089.402
508,1091.432
509,1093.461
510,1095.49
511,1097.519
512,1099.548
513,1101.578
514,1103.607
515,1105.636
516,1107.665
517,1109.694
518,1111.724
519,1113.753
520,1115.782
521,1117.811
522,1119.84
523,1121.869
524,1123.899
525,1125.928
526,1127.957
527,1129.986
528,1132.015
529,1134.045
530,1136.074
531,1138.103
532,1140.132
533,1142.161
534,1144.191
535,1146.22
536,1148.249
537,1150.278
538,1152.307
539,1154.336
540,1156.366
541,1158.395
542,1160.424
543,1162.453
544,1164.482
545,1166.512
546,1168.541
547,1170.57
548,1172.599
549,1174.628
550,1176.658
551,1178.687
552,1180.716
553,1182.745
554,1184.774
555,1186.804
556,1188.833
557,1190.862
558,1192.891
559,1194.92
560,1196.949
561,1198.979
562,1201.008
563,1203.037
564,1205.066
565,1207.095
566,1209.125
567,1211.154
568,1213.183
569,1215.212
570,1217.241
571,1219.271
572,1221.3
573,1223.329
574,1225.358
575,1227.387
576,1229.417
577,1231.446
578,1233.475
579,1235.504
580,1237.533
581,1239.562
582,1241.592
583,1243.621
584,1245.65
585,1247.679
586,1249.708
587,1251.738
588,1253.767
589,1255.796
590,1257.825
591,1259.854
592,1261.884
593,1263.913
594,1265.942
595,1267.971
596,1270.0
597,1272.029
598,1274.059
599,1276.088
600,1278.117
601,1280.146
602,1282.175
603,1284.205
604,1286.234
605,1288.263
606,1290.292
607,1292.321
608,1294.351
609,1296.38
610,1298.409
611,1300.438
612,1302.467
613,1304.497
614,1306.526
615,1308.555
616,1310.584
617,1312.613
618,1314.642
619,1316.672
620,1318.701
621,1320.73
622,1322.759
623,1324.788
624,1326.818
625,1328.847
626,1330.876
627,1332.905
628,1334.934
629,1336.964
630,1338.993
631,1341.022
632,1343.051
633,1345.08
634,1347.109
635,1349.139
636,1351.168
637,1353.197
638,1355.226
639,1357.255
640,1359.285
641,1361.314
642,1363.343
643,1365.372
644,1367.401
645,1369.431
646,1371.46
647,1373.489
648,1375.518
649,1377.547
650,1379.577
651,1381.606
652,1383.635
653,1385.664
654,1387.693
655,1389.722
656,1391.752
657,1393.781
658,1395.81
659,1397.839
660,1399.868
661,1401.898
662,1403.927
663,1405.956
664,1407.985
665,1410.014
666,1412.044
667,1414.073
668,1416.102
669,1418.131
670,1420.16
671,1422.19
672,1424.219
673,1426.248
674,1428.277
675,1430.306
676,1432.335
677,1434.365
678,1436.394
679,1438.423
680,1440.452
681,1442.481
682,1444.511
683,1446.54
684,1448.569
685,1450.598
686,1452.627
687,1454.657
688,1456.686
689,1458.715
690,1460.744
691,1462.773
692,1464.802
693,1466.832
694,1468.861
695,1470.89
696,1472.919
697,1474.948
698,1476.978
699,1479.007
700,1481.036
701,1483.065
702,1485.094
703,1487.124
704,1489.153
705,1491.182
706,1493.211
707,1495.24
708,1497.27
709,1499.299
710,1501.328
711,1503.357
712,1505.386
713,1507.415
714,1509.445
715,1511.474
716,1513.503
717,1515.532
718,1517.561
719,1519.591
720,1521.62
721,1523.649
722,1525.678
723,1527.707
724,1529.737
725,1531.766
726,1533.795
727,1535.824
728,1537.853
729,1539.883
730,1541.912
731,1543.941
732,1545.97
733,1547.999
734,1550.028
735,1552.058
736,1554.087
737,1556.116
738,1558.145
739,1560.174
740,1562.204
741,1564.233
742,1566.262
743,1568.291
744,1570.32
745,1572.35
746,1574.379
747,1576.408
748,1578.437
749,1580.466
750,1582.495
751,1584.525
752,1586.554
753,1588.583
754,1590.612
755,1592.641
756,1594.671
757,1596.7
758,1598.729
759,1600.758
760,1602.787
761,1604.817
762,1606.846
763,1608.875
764,1610.904
765,1612.933
766,1614.963
767,1616.992
768,1619.021
769,1621.05
770,1623.079
771,1625.108
772,1627.138
773,1629.167
774,1631.196
775,1633.225
776,1635.254
777,1637.284
778,1639.313
779,1641.342
780,1643.371
781,1645.4
782,1647.43
783,1649.459
