Month,Date,Class,Stream_Position_m,Row,Col,Inflow_mm_d
February,2022-02-13,Ditch,0.0,34,67,5.383729
February,2022-02-13,Ditch,0.0,35,65,3.0149367
February,2022-02-13,Ditch,0.0,36,63,0.0
February,2022-02-13,Ditch,0.0,37,62,0.0
February,2022-02-13,Ditch,0.0,38,60,0.0
February,2022-02-13,Ditch,0.0,39,56,0.0
February,2022-02-13,Ditch,0.0,39,57,0.0
February,2022-02-13,Ditch,0.0,40,53,0.0
February,2022-02-13,Ditch,0.0,41,49,0.0
February,2022-02-13,Ditch,0.0,41,50,0.0
February,2022-02-13,Ditch,0.0,42,46,4.479852
February,2022-02-13,Ditch,0.0,43,42,0.0
February,2022-02-13,Ditch,0.0,43,43,0.0
February,2022-02-13,Tributary,0.0,46,88,0.0
February,2022-02-13,Tributary,0.0,47,87,13.06374
February,2022-02-13,Tributary,0.0,48,86,30.446402
February,2022-02-13,Tributary,0.0,51,84,9.170174
February,2022-02-13,Tributary,0.0,54,80,31.212357
February,2022-02-13,Tributary,0.0,55,79,11.468225
February,2022-02-13,Tributary,0.0,56,78,0.0
February,2022-02-13,Tributary,0.0,59,77,20.929308
February,2022-02-13,Tributary,0.0,60,77,6.634007
February,2022-02-13,Tributary,0.0,62,76,27.190279
February,2022-02-13,Tributary,0.0,64,75,45.175053
February,2022-02-13,Tributary,0.0,66,74,39.752926
February,2022-02-13,Tributary,0.0,69,72,38.593166
February,2022-02-13,Tributary,0.0,72,70,41.741
February,2022-02-13,Tributary,0.0,75,68,43.598907
February,2022-02-13,Tributary,0.0,76,67,24.092863
February,2022-02-13,Tributary,0.0,77,66,0.0
February,2022-02-13,Tributary,0.0,78,64,0.0
February,2022-02-13,Tributary,0.0,79,56,0.0
February,2022-02-13,Tributary,0.0,79,57,0.0
February,2022-02-13,Tributary,0.0,79,58,0.0
February,2022-02-13,Tributary,0.0,79,59,0.0
February,2022-02-13,Tributary,0.0,79,63,4.1882524
February,2022-02-13,Tributary,1480.0,80,55,3.2531977
February,2022-02-13,Tributary,0.0,80,61,0.0
February,2022-02-13,Tributary,0.0,80,62,9.462515
April,2022-04-02,Ditch,0.0,34,67,6.7131534
April,2022-04-02,Ditch,0.0,35,65,3.7645314
April,2022-04-02,Ditch,0.0,36,63,0.0
April,2022-04-02,Ditch,0.0,37,62,1.2077122
April,2022-04-02,Ditch,0.0,38,60,0.0
April,2022-04-02,Ditch,0.0,39,56,2.3108258
April,2022-04-02,Ditch,0.0,39,57,0.0
April,2022-04-02,Ditch,0.0,40,53,0.0
April,2022-04-02,Ditch,0.0,41,49,0.0
April,2022-04-02,Ditch,0.0,41,50,0.0
April,2022-04-02,Ditch,0.0,42,46,7.7664776
April,2022-04-02,Ditch,0.0,43,42,0.0
April,2022-04-02,Ditch,0.0,43,43,1.4802086
April,2022-04-02,Tributary,0.0,46,88,0.0
April,2022-04-02,Tributary,0.0,47,87,16.544577
April,2022-04-02,Tributary,0.0,48,86,36.756844
April,2022-04-02,Tributary,0.0,51,84,16.610968
April,2022-04-02,Tributary,0.0,54,80,34.5186
April,2022-04-02,Tributary,0.0,55,79,14.329122
April,2022-04-02,Tributary,0.0,56,78,0.0
April,2022-04-02,Tributary,0.0,59,77,23.397863
April,2022-04-02,Tributary,0.0,60,77,5.639784
April,2022-04-02,Tributary,0.0,62,76,26.513975
April,2022-04-02,Tributary,0.0,64,75,45.073734
April,2022-04-02,Tributary,0.0,66,74,41.160736
April,2022-04-02,Tributary,0.0,69,72,39.530483
April,2022-04-02,Tributary,0.0,72,70,43.19066
April,2022-04-02,Tributary,0.0,75,68,42.71687
April,2022-04-02,Tributary,0.0,76,67,21.570807
April,2022-04-02,Tributary,0.0,77,66,0.0
April,2022-04-02,Tributary,0.0,78,64,0.0
April,2022-04-02,Tributary,0.0,79,56,0.0
April,2022-04-02,Tributary,0.0,79,57,0.0
April,2022-04-02,Tributary,0.0,79,58,0.0
April,2022-04-02,Tributary,0.0,79,59,0.0
April,2022-04-02,Tributary,0.0,79,63,3.75624
April,2022-04-02,Tributary,1480.0,80,55,3.066879
April,2022-04-02,Tributary,0.0,80,61,0.0
April,2022-04-02,Tributary,0.0,80,62,9.732422
May,2022-05-22,Ditch,0.0,34,67,8.6669035
May,2022-05-22,Ditch,0.0,35,65,7.252547
May,2022-05-22,Ditch,0.0,36,63,0.0
May,2022-05-22,Ditch,0.0,37,62,6.4467297
May,2022-05-22,Ditch,0.0,38,60,0.0
May,2022-05-22,Ditch,0.0,39,56,2.059172
May,2022-05-22,Ditch,0.0,39,57,0.0
May,2022-05-22,Ditch,0.0,40,53,0.0
May,2022-05-22,Ditch,0.0,41,49,0.0
May,2022-05-22,Ditch,0.0,41,50,0.0
May,2022-05-22,Ditch,0.0,42,46,8.250331
May,2022-05-22,Ditch,0.0,43,42,0.0
May,2022-05-22,Ditch,0.0,43,43,1.7237862
May,2022-05-22,Tributary,0.0,46,88,0.0
May,2022-05-22,Tributary,0.0,47,87,16.228312
May,2022-05-22,Tributary,0.0,48,86,35.916836
May,2022-05-22,Tributary,0.0,51,84,16.44531
May,2022-05-22,Tributary,0.0,54,80,36.665344
May,2022-05-22,Tributary,0.0,55,79,14.929404
May,2022-05-22,Tributary,0.0,56,78,0.0
May,2022-05-22,Tributary,0.0,59,77,23.47523
May,2022-05-22,Tributary,0.0,60,77,9.242655
May,2022-05-22,Tributary,0.0,62,76,31.419086
May,2022-05-22,Tributary,0.0,64,75,47.937077
May,2022-05-22,Tributary,0.0,66,74,42.313026
May,2022-05-22,Tributary,0.0,69,72,40.413067
May,2022-05-22,Tributary,0.0,72,70,43.376846
May,2022-05-22,Tributary,0.0,75,68,43.238754
May,2022-05-22,Tributary,0.0,76,67,22.439262
May,2022-05-22,Tributary,0.0,77,66,0.0
May,2022-05-22,Tributary,0.0,78,64,0.0
May,2022-05-22,Tributary,0.0,79,56,0.0
May,2022-05-22,Tributary,0.0,79,57,0.0
May,2022-05-22,Tributary,0.0,79,58,0.0
May,2022-05-22,Tributary,0.0,79,59,0.0
May,2022-05-22,Tributary,0.0,79,63,3.4957747
May,2022-05-22,Tributary,1480.0,80,55,2.8381805
May,2022-05-22,Tributary,0.0,80,61,0.0
May,2022-05-22,Tributary,0.0,80,62,9.150698
June,2022-06-11,Ditch,0.0,34,67,5.395002
June,2022-06-11,Ditch,0.0,35,65,2.5783873
June,2022-06-11,Ditch,0.0,36,63,0.0
June,2022-06-11,Ditch,0.0,37,62,0.0
June,2022-06-11,Ditch,0.0,38,60,0.0
June,2022-06-11,Ditch,0.0,39,56,0.0
June,2022-06-11,Ditch,0.0,39,57,0.0
June,2022-06-11,Ditch,0.0,40,53,0.0
June,2022-06-11,Ditch,0.0,41,49,0.0
June,2022-06-11,Ditch,0.0,41,50,0.0
June,2022-06-11,Ditch,0.0,42,46,3.571886
June,2022-06-11,Ditch,0.0,43,42,0.0
June,2022-06-11,Ditch,0.0,43,43,0.0
June,2022-06-11,Tributary,0.0,46,88,0.0
June,2022-06-11,Tributary,0.0,47,87,12.990529
June,2022-06-11,Tributary,0.0,48,86,30.958473
June,2022-06-11,Tributary,0.0,51,84,10.132604
June,2022-06-11,Tributary,0.0,54,80,31.171408
June,2022-06-11,Tributary,0.0,55,79,11.656757
June,2022-06-11,Tributary,0.0,56,78,0.0
June,2022-06-11,Tributary,0.0,59,77,20.14085
June,2022-06-11,Tributary,0.0,60,77,4.5234466
June,2022-06-11,Tributary,0.0,62,76,25.401283
June,2022-06-11,Tributary,0.0,64,75,43.772846
June,2022-06-11,Tributary,0.0,66,74,38.945446
June,2022-06-11,Tributary,0.0,69,72,35.823334
June,2022-06-11,Tributary,0.0,72,70,37.457188
June,2022-06-11,Tributary,0.0,75,68,38.45257
June,2022-06-11,Tributary,0.0,76,67,17.606209
June,2022-06-11,Tributary,0.0,77,66,0.0
June,2022-06-11,Tributary,0.0,78,64,0.0
June,2022-06-11,Tributary,0.0,79,56,0.0
June,2022-06-11,Tributary,0.0,79,57,0.0
June,2022-06-11,Tributary,0.0,79,58,0.0
June,2022-06-11,Tributary,0.0,79,59,0.0
June,2022-06-11,Tributary,0.0,79,63,0.6735998
June,2022-06-11,Tributary,1480.0,80,55,0.0
June,2022-06-11,Tributary,0.0,80,61,0.0
June,2022-06-11,Tributary,0.0,80,62,5.3097644
July,2022-07-23,Ditch,0.0,34,67,3.4232762
July,2022-07-23,Ditch,0.0,35,65,0.0
July,2022-07-23,Ditch,0.0,36,63,0.0
July,2022-07-23,Ditch,0.0,37,62,0.0
July,2022-07-23,Ditch,0.0,38,60,0.0
July,2022-07-23,Ditch,0.0,39,56,0.0
July,2022-07-23,Ditch,0.0,39,57,0.0
July,2022-07-23,Ditch,0.0,40,53,0.0
July,2022-07-23,Ditch,0.0,41,49,0.0
July,2022-07-23,Ditch,0.0,41,50,0.0
July,2022-07-23,Ditch,0.0,42,46,1.7904164
July,2022-07-23,Ditch,0.0,43,42,0.0
July,2022-07-23,Ditch,0.0,43,43,0.0
July,2022-07-23,Tributary,0.0,46,88,0.0
July,2022-07-23,Tributary,0.0,47,87,12.201964
July,2022-07-23,Tributary,0.0,48,86,29.748756
July,2022-07-23,Tributary,0.0,51,84,8.417652
July,2022-07-23,Tributary,0.0,54,80,29.102839
July,2022-07-23,Tributary,0.0,55,79,9.919359
